part;var;de;en
usr;firstname;Vorname;Firstname
usr;lastname;Nachname;Lastname
usr;email;E-Mail;E-Mail
usr;login;Account;Account
common;actions;Aktionen;Actions
header;title;Multi-Zuweisung;Multi-Assign
header;description;Weisen Sie einen Benutzer mehreren Workspaces zu;Assign a user to multiple Workspaces
button;select_user;Benutzer auswählen;Select User
usr;selected_data;Ausgewählter Benutzer;Selected User
main;role_1;Manager;Manager
main;role_2;Reader;Reader
main;role_3;Contributor;Contributor
crs;title;WS-Titel;WS-Title
crs;path;Pfad;Path
crs;role;Rolle;Role
crs;selection;Auswahl;Selection
crs;do_assignments;Benutzer einschreiben;Assign User
crs;cancel;Abbrechen;Cancel
msg;success_user_assigned;Benutzer eingeschrieben;User assigned
msg;failure_no_user_selected;Kein Benutzer ausgewählt;No User selected
msg;failure_own_usr_id;Das eigene Benutzerkonto kann nicht ausgewählt werden;You can't select your own Account
msg;failure_more_characters_needed;Filter müssen mind. 3 Zeichen enthalten;Filters need 3 characters or more
admin_form;title;Einstellungen;Settings
admin_form;button_save;Speichern;Save
admin_form;button_cancel;Abbrechen;Cancel
admin;roles;Verfügbar für Rollen;Available for roles
